Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,107,Clothes,Offline,M,11/17/2014,6032,1/5/2015,6189,109.28,35.84,4298,2946,6222
Asia,181,Office Supplies,Online,H,12/22/2015,7423,1/7/2016,6808,651.21,524.96,9059,9078,8451
Australia and Oceania,172,Personal Care,Online,M,4/20/2011,4361,5/2/2011,4807,81.73,56.67,3008,3472,2762
Europe,127,Cereal,Online,C,11/13/2014,6222,12/1/2014,5657,205.7,117.11,5912,5601,6624
Europe,81,Baby Food,Offline,H,4/2/2015,3420,4/6/2015,1865,255.28,159.42,3482,3727,3629
North America,177,Baby Food,Offline,H,3/23/2017,1963,3/29/2017,7966,255.28,159.42,7510,7314,8133
Asia,84,Cereal,Online,C,4/13/2015,8610,5/29/2015,5528,205.7,117.11,5853,5544,6538
Australia and Oceania,137,Snacks,Online,H,7/16/2012,6168,7/24/2012,8149,152.58,97.44,6112,6130,6177
Sub-Saharan Africa,27,Baby Food,Online,C,12/25/2016,7863,1/11/2017,6459,255.28,159.42,6977,6872,7488
North America,26,Baby Food,Online,M,12/5/2014,3016,12/15/2014,3120,255.28,159.42,4778,4872,4877
Middle East and North Africa,82,Meat,Offline,C,9/11/2012,1505,9/25/2012,7823,421.89,364.69,8433,8695,6164
Europe,1,Household,Offline,M,2/5/2010,9078,2/21/2010,2293,668.27,502.54,6827,7121,5573
Sub-Saharan Africa,49,Cereal,Online,M,10/18/2011,2328,12/1/2011,5284,205.7,117.11,5718,5428,6345
Europe,153,Clothes,Offline,C,12/12/2015,3469,1/18/2016,7583,109.28,35.84,4896,3465,7108
Sub-Saharan Africa,79,Baby Food,Offline,M,5/29/2010,5657,6/23/2010,7006,255.28,159.42,7152,7056,7744
Sub-Saharan Africa,54,Snacks,Online,H,5/26/2014,7725,7/15/2014,3403,152.58,97.44,3659,4003,3736
Australia and Oceania,123,Vegetables,Offline,C,2/14/2014,9415,3/28/2014,3653,154.06,90.93,3838,4012,4251
Sub-Saharan Africa,133,Office Supplies,Offline,L,12/30/2011,6076,2/12/2012,6667,651.21,524.96,9018,9034,8387
Middle East and North Africa,129,Beverages,Offline,H,4/13/2015,3936,5/20/2015,8389,47.45,31.79,3044,3418,2972
Sub-Saharan Africa,111,Meat,Offline,C,3/1/2017,5037,3/19/2017,6791,421.89,364.69,8185,8467,5643
Sub-Saharan Africa,49,Cereal,Online,H,9/8/2015,2099,9/27/2015,6878,205.7,117.11,6523,6175,7418
Australia and Oceania,172,Cosmetics,Offline,L,7/7/2017,3688,8/13/2017,5686,437.2,263.33,7942,7617,8743
Australia and Oceania,50,Vegetables,Offline,M,6/17/2011,9177,6/24/2011,7284,154.06,90.93,5810,5600,6264
Sub-Saharan Africa,162,Beverages,Online,M,2/10/2010,3682,3/9/2010,7769,47.45,31.79,2844,3193,2785
Europe,157,Meat,Online,C,10/8/2015,3080,11/11/2015,271,421.89,364.69,1405,1734,745
Europe,48,Fruits,Offline,H,8/23/2016,9106,9/18/2016,9952,9.33,6.92,1282,1431,1159
Europe,52,Meat,Online,H,5/18/2013,4201,6/30/2013,9003,421.89,364.69,8712,8916,6752
Europe,58,Vegetables,Online,L,4/1/2015,6585,5/7/2015,1649,154.06,90.93,2216,2246,2497
Central America and the Caribbean,134,Snacks,Offline,C,8/31/2013,5298,10/13/2013,9145,152.58,97.44,6475,6515,6650
Europe,6,Beverages,Online,C,4/1/2016,5158,4/19/2016,4776,47.45,31.79,2061,2275,2021
Sub-Saharan Africa,102,Clothes,Online,L,10/3/2012,1753,10/6/2012,8860,109.28,35.84,5333,3897,7653
Central America and the Caribbean,135,Snacks,Online,H,9/19/2016,6462,9/20/2016,3745,152.58,97.44,3868,4222,3964
Central America and the Caribbean,164,Fruits,Offline,L,3/28/2016,1431,4/2/2016,8812,9.33,6.92,1122,1261,1020
Middle East and North Africa,159,Office Supplies,Online,M,8/15/2015,4645,9/6/2015,5472,651.21,524.96,8581,8706,7820
Sub-Saharan Africa,87,Cosmetics,Online,M,6/14/2016,4734,7/29/2016,2166,437.2,263.33,5260,5250,5536
Asia,178,Snacks,Online,M,10/24/2013,6184,11/25/2013,9369,152.58,97.44,6559,6602,6766
Sub-Saharan Africa,19,Baby Food,Online,C,3/16/2015,4406,4/14/2015,4586,255.28,159.42,5930,5879,6100
Central America and the Caribbean,75,Beverages,Offline,H,1/17/2014,315,3/3/2014,7352,47.45,31.79,2728,3073,2667
Central America and the Caribbean,135,Baby Food,Offline,C,3/10/2016,5827,4/5/2016,4235,255.28,159.42,5691,5657,5802
Middle East and North Africa,170,Vegetables,Offline,L,5/24/2013,8512,6/28/2013,3834,154.06,90.93,3960,4122,4377
Europe,72,Fruits,Online,C,6/4/2017,6931,6/24/2017,1778,9.33,6.92,224,258,197
Sub-Saharan Africa,111,Personal Care,Offline,M,10/26/2010,5097,12/8/2010,5729,81.73,56.67,3439,3938,3153
Sub-Saharan Africa,95,Meat,Online,C,4/2/2011,7953,4/6/2011,378,421.89,364.69,1683,2111,1045
Europe,85,Clothes,Offline,C,10/2/2014,6419,10/21/2014,2451,109.28,35.84,2291,1607,3649
Asia,113,Fruits,Online,M,8/14/2014,1908,9/21/2014,5701,9.33,6.92,729,804,659
Middle East and North Africa,175,Clothes,Offline,H,10/18/2012,1711,11/14/2012,5914,109.28,35.84,4182,2851,6047
Sub-Saharan Africa,19,Snacks,Offline,L,1/30/2016,3967,3/9/2016,5909,152.58,97.44,5111,5272,5111
Australia and Oceania,137,Cosmetics,Online,H,3/5/2017,2573,4/16/2017,533,437.2,263.33,2097,2136,2301
Middle East and North Africa,121,Vegetables,Online,L,8/25/2013,2097,10/4/2013,1667,154.06,90.93,2232,2270,2515
Europe,39,Meat,Online,M,9/14/2011,3019,9/16/2011,3222,421.89,364.69,6406,7180,3697
Central America and the Caribbean,168,Vegetables,Offline,H,10/25/2014,6613,11/30/2014,6139,154.06,90.93,5253,5192,5633
Europe,81,Beverages,Offline,M,5/20/2012,9735,5/30/2012,3394,47.45,31.79,1695,1829,1661
Middle East and North Africa,9,Meat,Online,M,10/21/2013,309,11/24/2013,4989,421.89,364.69,7581,7936,4762
Europe,120,Cosmetics,Online,H,5/25/2014,1828,6/22/2014,2963,437.2,263.33,6247,6074,6753
Middle East and North Africa,2,Cereal,Offline,H,4/27/2014,8567,4/30/2014,6382,205.7,117.11,6294,5941,7169
Asia,151,Cereal,Offline,C,10/23/2014,850,11/25/2014,6344,205.7,117.11,6282,5925,7144
Europe,36,Cosmetics,Online,H,5/18/2014,9382,6/14/2014,980,437.2,263.33,3216,3305,3528
Asia,20,Baby Food,Offline,L,8/5/2012,934,8/17/2012,451,255.28,159.42,1409,1458,1478
Central America and the Caribbean,35,Office Supplies,Offline,H,11/20/2013,2949,1/9/2014,1949,651.21,524.96,6172,6861,4428
Europe,66,Baby Food,Offline,M,3/5/2016,8630,3/22/2016,4698,255.28,159.42,6015,5949,6185
Asia,160,Office Supplies,Offline,M,8/28/2014,2153,9/25/2014,4952,651.21,524.96,8386,8579,7527
Europe,105,Cereal,Online,C,2/28/2013,3145,3/11/2013,998,205.7,117.11,1933,1923,2236
Europe,52,Meat,Online,L,10/21/2012,2354,11/23/2012,8153,421.89,364.69,8520,8756,6332
Sub-Saharan Africa,49,Snacks,Online,H,10/8/2015,6002,10/29/2015,3766,152.58,97.44,3884,4233,3978
Australia and Oceania,100,Personal Care,Online,L,12/6/2013,1355,1/20/2014,2217,81.73,56.67,1795,2005,1696
Asia,160,Household,Online,L,5/22/2015,1314,6/26/2015,9917,668.27,502.54,9594,9553,9549
Sub-Saharan Africa,118,Meat,Offline,H,5/14/2010,9568,5/23/2010,307,421.89,364.69,1488,1876,845
Central America and the Caribbean,41,Snacks,Online,H,11/16/2012,5687,11/18/2012,8863,152.58,97.44,6392,6413,6530
Middle East and North Africa,108,Clothes,Online,L,6/28/2011,9868,8/2/2011,8088,109.28,35.84,5065,3660,7332
Europe,131,Cereal,Online,H,12/27/2010,8160,2/4/2011,2519,205.7,117.11,3654,3706,4153
Europe,142,Household,Online,M,6/6/2013,7533,7/15/2013,3724,668.27,502.54,7948,7992,7475
Europe,14,Cosmetics,Online,H,5/13/2014,536,6/1/2014,5300,437.2,263.33,7775,7472,8610
Europe,39,Fruits,Online,L,3/14/2014,503,3/19/2014,7878,9.33,6.92,1014,1118,908
Sub-Saharan Africa,156,Office Supplies,Offline,M,5/26/2014,6700,6/28/2014,4119,651.21,524.96,8079,8224,6787
Sub-Saharan Africa,22,Fruits,Online,L,9/17/2013,9017,10/15/2013,3715,9.33,6.92,470,525,417
Europe,8,Cereal,Offline,L,12/14/2011,3297,1/12/2012,8390,205.7,117.11,7079,6792,8058
Sub-Saharan Africa,28,Fruits,Offline,M,10/10/2013,6012,10/24/2013,6898,9.33,6.92,887,989,795
Sub-Saharan Africa,94,Baby Food,Offline,L,5/4/2017,9486,5/27/2017,27,255.28,159.42,86,80,120
Sub-Saharan Africa,111,Meat,Online,C,7/5/2010,6828,8/9/2010,5593,421.89,364.69,7824,8121,5068
Australia and Oceania,115,Snacks,Online,M,6/30/2012,6873,8/9/2012,3445,152.58,97.44,3682,4031,3759
Sub-Saharan Africa,40,Baby Food,Offline,C,1/29/2017,9263,2/18/2017,462,255.28,159.42,1421,1472,1501
Central America and the Caribbean,41,Beverages,Online,M,7/12/2011,9491,7/30/2011,5557,47.45,31.79,2267,2510,2214
Europe,52,Personal Care,Offline,C,9/5/2010,3749,9/21/2010,4671,81.73,56.67,2926,3381,2709
Sub-Saharan Africa,38,Personal Care,Offline,M,4/17/2015,4010,4/26/2015,5778,81.73,56.67,3459,3959,3170
Sub-Saharan Africa,117,Clothes,Online,L,10/31/2015,3058,12/1/2015,3882,109.28,35.84,3186,2121,4760
Sub-Saharan Africa,19,Personal Care,Online,H,5/25/2011,9484,6/20/2011,6021,81.73,56.67,3542,4076,3266
Central America and the Caribbean,116,Household,Offline,C,7/6/2013,2646,8/7/2013,6261,668.27,502.54,8945,8837,8828
Australia and Oceania,148,Personal Care,Online,L,1/21/2012,7530,3/7/2012,701,81.73,56.67,792,815,846
Europe,91,Personal Care,Online,H,11/21/2016,203,11/24/2016,2471,81.73,56.67,1913,2133,1804
Europe,127,Baby Food,Offline,L,3/27/2016,2326,3/31/2016,6732,255.28,159.42,7070,6963,7626
Asia,110,Cereal,Online,L,9/23/2010,6230,11/1/2010,5676,205.7,117.11,5921,5609,6636
Asia,181,Baby Food,Offline,M,3/22/2017,308,3/27/2017,3527,255.28,159.42,5102,5216,5204
Sub-Saharan Africa,141,Snacks,Offline,C,12/23/2011,3545,2/7/2012,1540,152.58,97.44,2113,2249,2180
Europe,53,Meat,Offline,H,3/11/2010,711,3/22/2010,3001,421.89,364.69,6164,7004,3541
Asia,171,Baby Food,Online,C,10/5/2016,7433,11/19/2016,8228,255.28,159.42,7575,7370,8215
Central America and the Caribbean,64,Cereal,Online,L,12/7/2014,5110,1/25/2015,9568,205.7,117.11,7404,7065,8413
Central America and the Caribbean,42,Household,Online,M,7/12/2015,5808,7/28/2015,6403,668.27,502.54,8994,8877,8874
Sub-Saharan Africa,49,Fruits,Offline,M,4/9/2015,7535,4/13/2015,143,9.33,6.92,13,16,11
Middle East and North Africa,10,Household,Offline,C,10/3/2015,9010,10/9/2015,9230,668.27,502.54,9500,9451,9445
Sub-Saharan Africa,95,Cosmetics,Online,H,1/22/2012,4748,2/22/2012,4138,437.2,263.33,7177,6997,7955
Asia,24,Vegetables,Online,H,9/6/2011,9890,9/28/2011,2372,154.06,90.93,2826,2891,3254
Asia,96,Personal Care,Offline,L,8/15/2015,5650,9/25/2015,3468,81.73,56.67,2379,2707,2211
Central America and the Caribbean,42,Cosmetics,Online,C,7/29/2014,3806,9/1/2014,3994,437.2,263.33,7102,6914,7836
Asia,154,Fruits,Online,H,6/15/2015,1990,6/25/2015,2547,9.33,6.92,332,364,289
North America,177,Cereal,Offline,H,11/17/2014,8516,12/9/2014,4759,205.7,117.11,5364,5191,5931
Sub-Saharan Africa,130,Personal Care,Online,H,7/12/2010,7757,8/10/2010,8290,81.73,56.67,4304,4738,3981
Sub-Saharan Africa,102,Beverages,Online,M,7/4/2012,4626,8/6/2012,7832,47.45,31.79,2859,3216,2810
Australia and Oceania,100,Clothes,Offline,C,11/3/2016,9693,12/20/2016,110,109.28,35.84,171,71,378
Central America and the Caribbean,32,Cereal,Offline,H,11/1/2016,4705,11/24/2016,8877,205.7,117.11,7196,6887,8207
Asia,110,Personal Care,Online,M,6/6/2014,6817,7/3/2014,9921,81.73,56.67,4848,5215,4455
Middle East and North Africa,169,Beverages,Offline,L,6/1/2016,4216,6/13/2016,6058,47.45,31.79,2397,2672,2337
Sub-Saharan Africa,31,Clothes,Offline,C,7/5/2015,708,8/20/2015,2138,109.28,35.84,2103,1498,3353
Europe,174,Personal Care,Offline,H,11/3/2016,990,12/6/2016,39,81.73,56.67,37,37,39
Central America and the Caribbean,60,Household,Offline,L,6/21/2011,5516,8/2/2011,3674,668.27,502.54,7910,7963,7417
Europe,14,Personal Care,Online,M,6/13/2010,5449,7/13/2010,3984,81.73,56.67,2626,2990,2425
Sub-Saharan Africa,102,Meat,Offline,L,9/30/2010,7759,10/16/2010,3943,421.89,364.69,7000,7543,4188
Sub-Saharan Africa,63,Clothes,Offline,L,3/10/2014,367,3/19/2014,3557,109.28,35.84,2973,2016,4573
Sub-Saharan Africa,4,Cosmetics,Online,H,2/1/2016,6713,3/4/2016,4860,437.2,263.33,7596,7330,8401
Europe,66,Cereal,Offline,H,8/11/2016,1117,9/23/2016,6922,205.7,117.11,6543,6185,7440
Sub-Saharan Africa,19,Vegetables,Offline,C,12/27/2016,3792,1/11/2017,839,154.06,90.93,1485,1495,1655
Sub-Saharan Africa,54,Snacks,Online,H,9/26/2015,5576,10/7/2015,4743,152.58,97.44,4491,4709,4578
Sub-Saharan Africa,16,Fruits,Offline,C,6/3/2012,3168,6/7/2012,8794,9.33,6.92,1118,1254,1016
Sub-Saharan Africa,143,Personal Care,Online,M,6/23/2011,4082,7/2/2011,184,81.73,56.67,207,222,212
Sub-Saharan Africa,23,Fruits,Online,L,10/24/2010,1488,10/25/2010,8138,9.33,6.92,1047,1152,938
Sub-Saharan Africa,143,Baby Food,Offline,C,3/15/2013,9452,4/30/2013,8910,255.28,159.42,7741,7513,8434
Asia,68,Cosmetics,Offline,L,11/29/2014,7752,12/17/2014,786,437.2,263.33,2707,2799,3051
Middle East and North Africa,73,Vegetables,Offline,L,1/18/2017,7076,2/25/2017,9084,154.06,90.93,6485,6245,7227
Middle East and North Africa,169,Household,Offline,M,3/21/2014,3707,4/22/2014,1152,668.27,502.54,4680,5280,3769
Europe,158,Personal Care,Online,H,6/15/2013,4833,7/5/2013,1370,81.73,56.67,1388,1509,1319
Middle East and North Africa,0,Cosmetics,Online,M,4/10/2015,3331,5/11/2015,6150,437.2,263.33,8084,7763,8887
Sub-Saharan Africa,54,Personal Care,Offline,M,6/23/2017,2978,7/29/2017,8933,81.73,56.67,4518,4919,4164
Sub-Saharan Africa,79,Clothes,Online,L,5/11/2011,3258,5/26/2011,5194,109.28,35.84,3853,2602,5584
Asia,113,Clothes,Online,L,10/11/2015,4484,11/23/2015,7437,109.28,35.84,4856,3416,7023
Europe,107,Vegetables,Online,L,10/18/2012,2647,12/7/2012,198,154.06,90.93,413,374,598
Australia and Oceania,115,Meat,Offline,M,1/19/2012,4609,1/29/2012,5045,421.89,364.69,7599,7960,4786
Sub-Saharan Africa,23,Household,Offline,L,8/30/2016,2973,9/8/2016,5576,668.27,502.54,8664,8673,8618
Asia,68,Household,Online,M,11/21/2011,1188,12/12/2011,2422,668.27,502.54,6941,7234,5762
Europe,18,Cereal,Online,C,5/6/2014,8386,6/8/2014,8242,205.7,117.11,7047,6759,8012
Middle East and North Africa,122,Fruits,Offline,L,3/16/2015,4711,4/4/2015,2731,9.33,6.92,348,386,310
Europe,58,Household,Offline,M,4/12/2014,5641,5/3/2014,7611,668.27,502.54,9227,9191,9188
Sub-Saharan Africa,130,Household,Offline,L,3/24/2016,7833,4/6/2016,1637,668.27,502.54,5739,6231,4650
Middle East and North Africa,2,Office Supplies,Offline,L,8/21/2011,3652,9/28/2011,5596,651.21,524.96,8633,8740,7898
Australia and Oceania,80,Cosmetics,Online,M,1/31/2011,6098,2/22/2011,7305,437.2,263.33,8371,8031,9199
Middle East and North Africa,129,Baby Food,Offline,C,1/25/2011,4111,2/2/2011,6612,255.28,159.42,7040,6919,7575
Central America and the Caribbean,12,Snacks,Online,H,12/7/2012,7234,1/3/2013,397,152.58,97.44,841,791,1058
Europe,74,Household,Offline,M,7/14/2011,1036,8/5/2011,7571,668.27,502.54,9216,9183,9172
Europe,176,Office Supplies,Online,L,2/14/2014,1660,3/10/2014,4078,651.21,524.96,8065,8204,6751
Sub-Saharan Africa,23,Clothes,Online,H,11/22/2013,1114,12/21/2013,7890,109.28,35.84,5001,3588,7260
Australia and Oceania,148,Meat,Offline,M,6/13/2016,2206,7/3/2016,4012,421.89,364.69,7044,7577,4235
Europe,92,Cereal,Offline,L,4/28/2013,3416,6/12/2013,9481,205.7,117.11,7381,7040,8376
Europe,66,Fruits,Offline,M,1/15/2016,4186,2/20/2016,8363,9.33,6.92,1074,1183,970
Asia,171,Vegetables,Offline,M,6/21/2014,9531,8/2/2014,6758,154.06,90.93,5552,5409,5971
Europe,66,Snacks,Offline,C,11/30/2010,5473,12/1/2010,7796,152.58,97.44,5980,5993,6003
Central America and the Caribbean,134,Beverages,Online,M,4/19/2016,3603,5/1/2016,6637,47.45,31.79,2564,2839,2493
Sub-Saharan Africa,166,Beverages,Offline,L,2/15/2016,6423,2/27/2016,5473,47.45,31.79,2249,2487,2195
Australia and Oceania,167,Snacks,Online,M,2/4/2012,2210,2/8/2012,8530,152.58,97.44,6268,6269,6365
Asia,178,Baby Food,Online,C,10/5/2010,9899,11/1/2010,7060,255.28,159.42,7171,7077,7764
Europe,132,Cosmetics,Offline,M,3/6/2012,4433,4/8/2012,4352,437.2,263.33,7316,7107,8108
Europe,158,Meat,Offline,M,9/1/2013,1249,9/14/2013,721,421.89,364.69,2504,3364,1440
Central America and the Caribbean,136,Personal Care,Online,M,8/15/2013,1855,9/7/2013,8517,81.73,56.67,4375,4802,4053
Sub-Saharan Africa,25,Vegetables,Online,L,4/15/2015,8272,4/20/2015,7119,154.06,90.93,5749,5543,6179
Europe,34,Vegetables,Offline,C,5/24/2015,8569,6/7/2015,7938,154.06,90.93,6061,5841,6623
Central America and the Caribbean,61,Vegetables,Offline,L,7/13/2015,1477,8/29/2015,9418,154.06,90.93,6599,6385,7334
Europe,180,Household,Online,M,10/11/2010,1348,10/18/2010,2031,668.27,502.54,6400,6855,5188
Europe,105,Beverages,Online,L,3/15/2016,3552,4/29/2016,3283,47.45,31.79,1654,1792,1624
Central America and the Caribbean,35,Office Supplies,Online,L,2/3/2010,9104,2/18/2010,2709,651.21,524.96,7125,7517,5236
Central America and the Caribbean,45,Personal Care,Online,M,6/7/2013,9880,6/26/2013,6877,81.73,56.67,3833,4352,3552
Asia,30,Vegetables,Offline,H,6/1/2010,3512,6/15/2010,4386,154.06,90.93,4294,4381,4695
Sub-Saharan Africa,63,Cereal,Online,L,10/21/2012,8297,10/22/2012,865,205.7,117.11,1780,1765,2049
Sub-Saharan Africa,16,Clothes,Offline,H,9/16/2010,8573,10/29/2010,3976,109.28,35.84,3257,2165,4816
Sub-Saharan Africa,162,Office Supplies,Online,C,3/27/2014,9297,5/5/2014,8411,651.21,524.96,9333,9387,8875
North America,177,Beverages,Online,H,10/31/2011,1110,11/1/2011,894,47.45,31.79,575,573,674
Asia,161,Cereal,Offline,C,12/14/2011,5589,1/19/2012,5179,205.7,117.11,5625,5380,6251
Australia and Oceania,148,Personal Care,Online,H,7/14/2016,34,7/18/2016,7053,81.73,56.67,3890,4384,3605
Sub-Saharan Africa,162,Fruits,Offline,H,3/24/2017,2574,4/6/2017,9332,9.33,6.92,1205,1347,1095
Europe,158,Meat,Online,H,4/25/2014,6996,5/23/2014,6867,421.89,364.69,8205,8495,5688
Sub-Saharan Africa,152,Baby Food,Online,H,12/7/2012,7995,12/10/2012,1536,255.28,159.42,3001,3172,3215
Australia and Oceania,80,Baby Food,Offline,M,9/18/2011,6103,9/27/2011,7251,255.28,159.42,7231,7130,7840
Asia,17,Cereal,Offline,C,2/16/2014,2446,2/17/2014,4953,205.7,117.11,5480,5286,6090
Europe,21,Vegetables,Online,H,2/26/2017,3965,4/17/2017,7618,154.06,90.93,5939,5728,6460
Europe,120,Cereal,Offline,C,1/16/2015,8472,1/29/2015,5249,205.7,117.11,5683,5410,6311
Australia and Oceania,51,Vegetables,Offline,L,9/5/2010,9662,9/18/2010,9883,154.06,90.93,6797,6548,7516
Central America and the Caribbean,134,Fruits,Online,M,10/20/2011,1741,10/30/2011,586,9.33,6.92,63,73,59
Europe,56,Household,Offline,H,1/26/2012,4854,2/21/2012,8459,668.27,502.54,9384,9330,9337
Middle East and North Africa,169,Household,Offline,M,7/26/2017,9875,8/18/2017,1630,668.27,502.54,5722,6219,4646
Europe,72,Clothes,Online,H,9/21/2012,3565,10/17/2012,261,109.28,35.84,389,202,914
Middle East and North Africa,86,Baby Food,Online,C,2/8/2017,3319,3/28/2017,1544,255.28,159.42,3011,3183,3229
Asia,151,Clothes,Offline,M,6/29/2013,2447,7/13/2013,4703,109.28,35.84,3638,2435,5266
Sub-Saharan Africa,19,Snacks,Online,L,3/23/2012,4916,5/2/2012,5993,152.58,97.44,5155,5309,5148
Sub-Saharan Africa,23,Meat,Offline,L,2/18/2017,561,2/21/2017,3699,421.89,364.69,6873,7420,4030
Asia,113,Office Supplies,Online,C,3/11/2014,9959,4/1/2014,3139,651.21,524.96,7523,7787,5716
Sub-Saharan Africa,101,Clothes,Offline,C,2/22/2013,9508,3/15/2013,1662,109.28,35.84,1801,1226,2795
Asia,178,Snacks,Online,C,6/14/2013,6376,7/7/2013,3648,152.58,97.44,3801,4176,3910
Middle East and North Africa,159,Clothes,Online,L,8/20/2015,3480,8/25/2015,5508,109.28,35.84,4000,2719,5786
Sub-Saharan Africa,33,Snacks,Offline,L,6/28/2017,4522,8/6/2017,684,152.58,97.44,1355,1384,1381
Asia,69,Snacks,Offline,M,4/24/2010,8947,4/30/2010,4650,152.58,97.44,4433,4666,4523
Asia,76,Beverages,Offline,C,12/18/2012,7139,1/15/2013,9910,47.45,31.79,3449,3874,3334
Europe,142,Snacks,Online,H,1/30/2015,5145,3/10/2015,1001,152.58,97.44,1636,1719,1690
Europe,153,Office Supplies,Online,M,2/23/2011,9707,3/4/2011,9491,651.21,524.96,9504,9552,9088
Asia,171,Vegetables,Offline,H,11/11/2011,3570,12/8/2011,8977,154.06,90.93,6452,6208,7184
Sub-Saharan Africa,88,Vegetables,Online,L,1/20/2010,42,2/4/2010,90,154.06,90.93,191,174,261
Sub-Saharan Africa,87,Snacks,Offline,L,10/7/2014,8290,10/17/2014,5491,152.58,97.44,4925,5079,4912
Sub-Saharan Africa,111,Office Supplies,Offline,H,3/3/2017,8402,4/12/2017,4873,651.21,524.96,8356,8540,7460
Europe,157,Office Supplies,Offline,H,1/28/2017,6106,3/10/2017,9958,651.21,524.96,9574,9592,9174
Sub-Saharan Africa,88,Fruits,Offline,H,8/1/2011,7806,9/10/2011,9502,9.33,6.92,1226,1369,1109
Central America and the Caribbean,32,Baby Food,Offline,C,12/23/2013,5932,1/22/2014,4290,255.28,159.42,5745,5696,5849
Asia,154,Cereal,Offline,L,2/18/2012,3535,3/26/2012,2141,205.7,117.11,3285,3234,3757
Central America and the Caribbean,164,Vegetables,Offline,L,2/9/2010,9435,2/13/2010,2903,154.06,90.93,3326,3373,3692
Europe,128,Beverages,Offline,C,11/2/2016,3357,11/14/2016,3456,47.45,31.79,1714,1851,1673
Middle East and North Africa,169,Household,Online,C,1/5/2012,709,1/8/2012,2711,668.27,502.54,7180,7431,6176
Sub-Saharan Africa,165,Meat,Offline,C,6/20/2010,7674,6/30/2010,6610,421.89,364.69,8145,8411,5555
Sub-Saharan Africa,29,Cosmetics,Offline,M,12/18/2012,6346,1/14/2013,3127,437.2,263.33,6422,6235,6993
Middle East and North Africa,77,Meat,Offline,M,7/17/2017,9412,8/25/2017,7267,421.89,364.69,8289,8608,5887
Middle East and North Africa,121,Snacks,Online,L,9/22/2015,5482,11/1/2015,6066,152.58,97.44,5190,5329,5172
Middle East and North Africa,70,Cereal,Online,M,6/20/2011,3838,7/7/2011,3591,205.7,117.11,4556,4497,5051
Europe,53,Vegetables,Offline,M,5/11/2017,9649,5/28/2017,5941,154.06,90.93,5156,5106,5523
Europe,85,Fruits,Online,C,12/24/2012,8799,1/20/2013,6246,9.33,6.92,808,895,722
Sub-Saharan Africa,156,Baby Food,Offline,M,11/1/2016,3028,12/18/2016,9667,255.28,159.42,7923,7680,8628
Sub-Saharan Africa,62,Snacks,Offline,C,6/3/2014,4778,6/17/2014,8396,152.58,97.44,6206,6216,6293
Sub-Saharan Africa,156,Beverages,Online,L,1/5/2015,2211,2/5/2015,6658,47.45,31.79,2572,2847,2500
Europe,138,Office Supplies,Online,M,1/7/2010,4443,2/12/2010,5706,651.21,524.96,8659,8764,7963
Sub-Saharan Africa,4,Cereal,Offline,H,8/21/2014,6204,9/22/2014,8827,205.7,117.11,7183,6874,8189
Australia and Oceania,50,Cosmetics,Offline,H,1/18/2011,3183,1/29/2011,6339,437.2,263.33,8130,7812,8939
Sub-Saharan Africa,47,Cosmetics,Online,L,10/13/2012,6760,11/9/2012,590,437.2,263.33,2238,2314,2467
Sub-Saharan Africa,139,Cosmetics,Offline,C,7/10/2015,8943,8/1/2015,959,437.2,263.33,3160,3256,3481
Australia and Oceania,100,Personal Care,Offline,L,12/28/2015,7801,12/31/2015,8859,81.73,56.67,4493,4897,4143
Asia,154,Cosmetics,Online,L,10/12/2015,2072,10/26/2015,2731,437.2,263.33,6001,5827,6410
Europe,34,Vegetables,Online,C,7/16/2017,6116,7/28/2017,3049,154.06,90.93,3446,3529,3786
Sub-Saharan Africa,183,Clothes,Offline,L,8/17/2013,5337,10/1/2013,7319,109.28,35.84,4793,3355,6938
Middle East and North Africa,0,Meat,Offline,H,8/11/2012,694,8/29/2012,5075,421.89,364.69,7611,7969,4804
Sub-Saharan Africa,19,Cereal,Offline,M,10/6/2012,4120,11/7/2012,2886,205.7,117.11,3968,4048,4515
Asia,11,Household,Offline,M,6/3/2013,3127,7/20/2013,9350,668.27,502.54,9517,9470,9459
Asia,84,Vegetables,Offline,M,3/16/2011,6249,3/26/2011,97,154.06,90.93,206,193,288
Sub-Saharan Africa,22,Cosmetics,Offline,L,5/14/2011,7566,6/18/2011,2788,437.2,263.33,6053,5891,6496
Asia,68,Cosmetics,Online,C,6/8/2016,2163,6/30/2016,2115,437.2,263.33,5188,5189,5466
Middle East and North Africa,121,Fruits,Online,L,11/14/2014,658,12/20/2014,4803,9.33,6.92,623,687,550
Sub-Saharan Africa,40,Fruits,Online,M,2/11/2015,4659,3/10/2015,4605,9.33,6.92,583,648,516
Australia and Oceania,80,Clothes,Online,H,7/17/2011,1366,7/28/2011,7309,109.28,35.84,4787,3353,6934
Central America and the Caribbean,45,Household,Online,C,12/9/2010,9005,1/21/2011,5732,668.27,502.54,8733,8708,8688
Europe,66,Office Supplies,Offline,M,8/6/2013,1395,9/13/2013,4721,651.21,524.96,8294,8469,7340
Europe,18,Personal Care,Online,M,1/27/2017,3187,1/29/2017,6158,81.73,56.67,3593,4124,3322
Europe,39,Personal Care,Online,L,6/5/2012,4856,6/9/2012,3952,81.73,56.67,2611,2970,2414
